,PARTIDO,NUM_VOTOS,PORCENTAJE
150,AEEV,2,",5813953488372093023255813953488372093023"
1884,AEEV,1,",2227171492204899777282850779510022271715"
3159,AEEV,2,",6042296072507552870090634441087613293051"
4434,AEEV,0,0
1867,AEEV,0,0
1153,AEEV,1,",2164502164502164502164502164502164502165"
5284,AEEV,1,",3095975232198142414860681114551083591331"
3482,AEEV,2,",4210526315789473684210526315789473684211"
5998,AEEV,0,0
167,AEEV,2,",5602240896358543417366946778711484593838"
660,AEEV,1,",3021148036253776435045317220543806646526"
4383,AEEV,0,0
5301,AEEV,0,0
2020,AEEV,4,",6568144499178981937602627257799671592775"
4332,AEEV,5,"1,529051987767584097859327217125382263"
3108,AEEV,0,0
5182,AEEV,2,",3663003663003663003663003663003663003663"
2003,AEEV,2,",3466204506065857885615251299826689774697"
1102,AEEV,2,",44345898004434589800443458980044345898"
184,AEEV,2,",388349514563106796116504854368932038835"
3516,AEEV,0,0
4451,AEEV,0,0
6134,AEEV,1,",2053388090349075975359342915811088295688"
4349,AEEV,1,",1801801801801801801801801801801801801802"
4944,AEEV,3,",558659217877094972067039106145251396648"
507,AEEV,3,",5758157389635316698656429942418426103647"
1969,AEEV,0,0
4366,AEEV,2,",4424778761061946902654867256637168141593"
5624,AEEV,1,",2192982456140350877192982456140350877193"
3125,AEEV,0,0
1119,AEEV,1,",1988071570576540755467196819085487077535"
1952,AEEV,0,0
1986,AEEV,2,",4555808656036446469248291571753986332574"
1850,AEEV,1,",2518891687657430730478589420654911838791"
2819,AEEV,1,",2096436058700209643605870020964360587002"
5675,AEEV,1,",2277904328018223234624145785876993166287"
1782,AEEV,2,",4796163069544364508393285371702637889688"
5199,AEEV,1,",1848428835489833641404805914972273567468"
6151,AEEV,3,",5474452554744525547445255474452554744526"
4502,AEEV,1,",2583979328165374677002583979328165374677"
5658,AEEV,1,",2604166666666666666666666666666666666667"
1799,AEEV,2,",3344481605351170568561872909698996655518"
1187,AEEV,2,",5115089514066496163682864450127877237852"
3465,AEEV,2,",4889975550122249388753056234718826405868"
4485,AEEV,2,",3521126760563380281690140845070422535211"
3176,AEEV,4,",7604562737642585551330798479087452471483"
524,AEEV,1,",2392344497607655502392344497607655502392"
1816,AEEV,4,",6472491909385113268608414239482200647249"
4910,AEEV,1,",2666666666666666666666666666666666666667"
3193,AEEV,1,",1901140684410646387832699619771863117871"
4468,AEEV,2,",6644518272425249169435215946843853820598"
133,AEEV,0,0
1748,AEEV,1,",1838235294117647058823529411764705882353"
5845,AEEV,2,",437636761487964989059080962800875273523"
1765,AEEV,4,"1,02301790281329923273657289002557544757"
1833,AEEV,2,",4716981132075471698113207547169811320755"
4519,AEEV,1,",2398081534772182254196642685851318944844"
1170,AEEV,0,0
116,AEEV,0,0
643,AEEV,2,",4115226337448559670781893004115226337449"
2942,Abstenciones,173,"34,05511811023622047244094488188976377953"
5271,Abstenciones,96,"22,91169451073985680190930787589498806683"
766,Abstenciones,132,"25,33589251439539347408829174664107485605"
3095,Abstenciones,156,"36,6197183098591549295774647887323943662"
3316,Abstenciones,304,"33,29682365826944140197152245345016429354"
715,Abstenciones,120,"26,54867256637168141592920353982300884956"
630,Abstenciones,161,"24,88408037094281298299845440494590417311"
3180,Abstenciones,243,"31,59947984395318595578673602080624187256"
3197,Abstenciones,154,"30,55555555555555555555555555555555555556"
5305,Abstenciones,142,"21,25748502994011976047904191616766467066"
5373,Abstenciones,189,"32,25255972696245733788395904436860068259"
2840,Abstenciones,173,"32,88973384030418250950570342205323193916"
664,Abstenciones,98,"24,81012658227848101265822784810126582278"
5339,Abstenciones,149,"22,07407407407407407407407407407407407407"
579,Abstenciones,144,"24,65753424657534246575342465753424657534"
5237,Abstenciones,211,"34,42088091353996737357259380097879282219"
681,Abstenciones,92,"20,95671981776765375854214123006833712984"
6019,Abstenciones,65,"27,77777777777777777777777777777777777778"
2823,Abstenciones,179,"33,58348968105065666041275797373358348968"
3214,Abstenciones,200,"34,9040139616055846422338568935427574171"
2959,Abstenciones,180,"39,13043478260869565217391304347826086957"
3061,Abstenciones,247,"31,10831234256926952141057934508816120907"
5985,Abstenciones,214,"34,18530351437699680511182108626198083067"
3112,Abstenciones,174,"37,02127659574468085106382978723404255319"
2908,Abstenciones,173,"34,39363817097415506958250497017892644135"
5254,Abstenciones,94,"21,4123006833712984054669703872437357631"
3163,Abstenciones,255,"32,65044814340588988476312419974391805378"
5356,Abstenciones,166,"24,51994091580502215657311669128508124077"
6002,Abstenciones,283,"38,50340136054421768707482993197278911565"
5322,Abstenciones,179,"28,05642633228840125391849529780564263323"
749,Abstenciones,119,"22,97297297297297297297297297297297297297"
3265,Abstenciones,133,"22,81303602058319039451114922813036020583"
3248,Abstenciones,245,"33,19783197831978319783197831978319783198"
2891,Abstenciones,192,"38,24701195219123505976095617529880478088"
3010,Abstenciones,201,"29,38596491228070175438596491228070175439"
2976,Abstenciones,199,"40,3651115618661257606490872210953346856"
613,Abstenciones,146,"23,97372742200328407224958949096880131363"
3299,Abstenciones,286,"34,54106280193236714975845410628019323671"
2874,Abstenciones,127,"29,74238875878220140515222482435597189696"
3146,Abstenciones,258,"43,80305602716468590831918505942275042445"
2925,Abstenciones,202,"34,00673400673400673400673400673400673401"
3027,Abstenciones,156,"27,80748663101604278074866310160427807487"
5288,Abstenciones,165,"32,28962818003913894324853228962818003914"
596,Abstenciones,162,"26,95507487520798668885191347753743760399"
3282,Abstenciones,175,"26,51515151515151515151515151515151515152"
5968,Abstenciones,214,"31,51693667157584683357879234167893961708"
732,Abstenciones,130,"26,53061224489795918367346938775510204082"
3129,Abstenciones,235,"42,19030520646319569120287253141831238779"
3044,Abstenciones,153,"25,80101180438448566610455311973018549747"
3231,Abstenciones,262,"35,35762483130904183535762483130904183536"
2857,Abstenciones,140,"32,86384976525821596244131455399061032864"
2993,Abstenciones,203,"30,99236641221374045801526717557251908397"
698,Abstenciones,124,"25,51440329218106995884773662551440329218"
647,Abstenciones,101,"23,37962962962962962962962962962962962963"
3078,Abstenciones,240,"30,84832904884318766066838046272493573265"
783,Abstenciones,172,"30,93525179856115107913669064748201438849"
1871,Abstenciones,160,"26,2725779967159277504105090311986863711"
1854,Abstenciones,180,"29,80132450331125827814569536423841059603"
1157,Abstenciones,165,"29,78339350180505415162454873646209386282"
