PARTIDO,NUM_VOTOS,PORCENTAJE
Abstenciones,145,"24,70187393526405451448040885860306643952"
Votantes,442,"75,29812606473594548551959114139693356048"
Blancos,2,",4524886877828054298642533936651583710407"
Validos,439,"99,32126696832579185520361990950226244344"
Nulos,3,",6787330316742081447963800904977375565611"
PSOE,109,"24,66063348416289592760180995475113122172"
FO,1,",2262443438914027149321266968325791855204"
PP,197,"44,57013574660633484162895927601809954751"
PACMA,1,",2262443438914027149321266968325791855204"
PCTE,1,",2262443438914027149321266968325791855204"
PUM J,0,0
VOX,60,"13,57466063348416289592760180995475113122"
PUEDE,0,0
AEEV,3,",6787330316742081447963800904977375565611"
RC,1,",2262443438914027149321266968325791855204"
SUMAR,64,"14,4796380090497737556561085972850678733"
Electores,662,100
Abstenciones,168,"25,37764350453172205438066465256797583082"
Votantes,494,"74,62235649546827794561933534743202416918"
Blancos,3,",6072874493927125506072874493927125506073"
Validos,489,"98,98785425101214574898785425101214574899"
Nulos,5,"1,01214574898785425101214574898785425101"
PSOE,131,"26,51821862348178137651821862348178137652"
FO,1,",2024291497975708502024291497975708502024"
PP,214,"43,31983805668016194331983805668016194332"
PACMA,2,",4048582995951417004048582995951417004049"
PCTE,0,0
PUM J,1,",2024291497975708502024291497975708502024"
VOX,56,"11,33603238866396761133603238866396761134"
PUEDE,0,0
AEEV,1,",2024291497975708502024291497975708502024"
RC,0,0
SUMAR,80,"16,19433198380566801619433198380566801619"
Electores,439,100
Abstenciones,114,"25,96810933940774487471526195899772209567"
Votantes,325,"74,03189066059225512528473804100227790433"
Blancos,3,",9230769230769230769230769230769230769231"
Validos,324,"99,69230769230769230769230769230769230769"
Nulos,1,",3076923076923076923076923076923076923077"
PSOE,90,"27,69230769230769230769230769230769230769"
FO,0,0
PP,122,"37,53846153846153846153846153846153846154"
PACMA,1,",3076923076923076923076923076923076923077"
PCTE,0,0
PUM J,0,0
VOX,43,"13,23076923076923076923076923076923076923"
PUEDE,0,0
AEEV,1,",3076923076923076923076923076923076923077"
RC,0,0
SUMAR,64,"19,69230769230769230769230769230769230769"
Electores,525,100
Abstenciones,149,"28,38095238095238095238095238095238095238"
Votantes,376,"71,61904761904761904761904761904761904762"
Blancos,2,",5319148936170212765957446808510638297872"
Validos,375,"99,73404255319148936170212765957446808511"
Nulos,1,",2659574468085106382978723404255319148936"
PSOE,112,"29,78723404255319148936170212765957446809"
FO,0,0
PP,156,"41,4893617021276595744680851063829787234"
PACMA,3,",7978723404255319148936170212765957446809"
PCTE,0,0
PUM J,2,",5319148936170212765957446808510638297872"
VOX,49,"13,03191489361702127659574468085106382979"
PUEDE,0,0
AEEV,0,0
RC,0,0
SUMAR,51,"13,56382978723404255319148936170212765957"
Electores,561,100
Abstenciones,127,"22,63814616755793226381461675579322638146"
Votantes,434,"77,36185383244206773618538324420677361854"
Blancos,8,"1,84331797235023041474654377880184331797"
Validos,432,"99,53917050691244239631336405529953917051"
Nulos,2,",4608294930875576036866359447004608294931"
PSOE,104,"23,96313364055299539170506912442396313364"
FO,0,0
PP,207,"47,69585253456221198156682027649769585253"
PACMA,0,0
PCTE,0,0
PUM J,1,",2304147465437788018433179723502304147465"
VOX,63,"14,51612903225806451612903225806451612903"
PUEDE,0,0
AEEV,2,",4608294930875576036866359447004608294931"
RC,0,0
SUMAR,47,"10,82949308755760368663594470046082949309"
Electores,444,100
Abstenciones,87,"19,59459459459459459459459459459459459459"
Votantes,357,"80,40540540540540540540540540540540540541"
Blancos,0,0
Validos,354,"99,15966386554621848739495798319327731092"
Nulos,3,",8403361344537815126050420168067226890756"
PSOE,75,"21,00840336134453781512605042016806722689"
FO,1,",2801120448179271708683473389355742296919"
PP,192,"53,78151260504201680672268907563025210084"
PACMA,0,0
PCTE,0,0
PUM J,0,0
VOX,57,"15,96638655462184873949579831932773109244"
PUEDE,0,0
AEEV,1,",2801120448179271708683473389355742296919"
RC,0,0
SUMAR,28,"7,84313725490196078431372549019607843137"
Electores,459,100
Abstenciones,105,"22,87581699346405228758169934640522875817"
Votantes,354,"77,12418300653594771241830065359477124183"
Blancos,2,",5649717514124293785310734463276836158192"
Validos,350,"98,87005649717514124293785310734463276836"
Nulos,4,"1,12994350282485875706214689265536723164"
PSOE,77,"21,75141242937853107344632768361581920904"
FO,0,0
PP,194,"54,80225988700564971751412429378531073446"
PACMA,0,0
PCTE,1,",2824858757062146892655367231638418079096"
PUM J,0,0
VOX,43,"12,14689265536723163841807909604519774011"
PUEDE,1,",2824858757062146892655367231638418079096"
AEEV,0,0
RC,0,0
