PARTIDO,NUM_VOTOS,PORCENTAJE
AEEV,2,",4424778761061946902654867256637168141593"
AEEV,1,",2192982456140350877192982456140350877193"
AEEV,0,0
AEEV,1,",1988071570576540755467196819085487077535"
AEEV,0,0
AEEV,2,",4555808656036446469248291571753986332574"
AEEV,1,",2518891687657430730478589420654911838791"
AEEV,1,",2096436058700209643605870020964360587002"
AEEV,1,",2277904328018223234624145785876993166287"
AEEV,2,",4796163069544364508393285371702637889688"
AEEV,1,",1848428835489833641404805914972273567468"
AEEV,3,",5474452554744525547445255474452554744526"
AEEV,1,",2583979328165374677002583979328165374677"
AEEV,1,",2604166666666666666666666666666666666667"
AEEV,2,",3344481605351170568561872909698996655518"
AEEV,2,",5115089514066496163682864450127877237852"
AEEV,2,",4889975550122249388753056234718826405868"
AEEV,2,",3521126760563380281690140845070422535211"
AEEV,4,",7604562737642585551330798479087452471483"
AEEV,1,",2392344497607655502392344497607655502392"
AEEV,4,",6472491909385113268608414239482200647249"
AEEV,1,",2666666666666666666666666666666666666667"
AEEV,1,",1901140684410646387832699619771863117871"
AEEV,2,",6644518272425249169435215946843853820598"
AEEV,0,0
AEEV,1,",1838235294117647058823529411764705882353"
AEEV,2,",437636761487964989059080962800875273523"
AEEV,4,"1,02301790281329923273657289002557544757"
AEEV,2,",4716981132075471698113207547169811320755"
AEEV,1,",2398081534772182254196642685851318944844"
AEEV,0,0
AEEV,0,0
AEEV,2,",4115226337448559670781893004115226337449"
Abstenciones,173,"34,05511811023622047244094488188976377953"
Abstenciones,96,"22,91169451073985680190930787589498806683"
Abstenciones,132,"25,33589251439539347408829174664107485605"
Abstenciones,156,"36,6197183098591549295774647887323943662"
Abstenciones,304,"33,29682365826944140197152245345016429354"
Abstenciones,120,"26,54867256637168141592920353982300884956"
Abstenciones,161,"24,88408037094281298299845440494590417311"
Abstenciones,243,"31,59947984395318595578673602080624187256"
Abstenciones,154,"30,55555555555555555555555555555555555556"
Abstenciones,142,"21,25748502994011976047904191616766467066"
Abstenciones,189,"32,25255972696245733788395904436860068259"
Abstenciones,173,"32,88973384030418250950570342205323193916"
Abstenciones,98,"24,81012658227848101265822784810126582278"
Abstenciones,149,"22,07407407407407407407407407407407407407"
Abstenciones,144,"24,65753424657534246575342465753424657534"
Abstenciones,211,"34,42088091353996737357259380097879282219"
Abstenciones,92,"20,95671981776765375854214123006833712984"
Abstenciones,65,"27,77777777777777777777777777777777777778"
Abstenciones,179,"33,58348968105065666041275797373358348968"
Abstenciones,200,"34,9040139616055846422338568935427574171"
Abstenciones,180,"39,13043478260869565217391304347826086957"
Abstenciones,247,"31,10831234256926952141057934508816120907"
Abstenciones,214,"34,18530351437699680511182108626198083067"
Abstenciones,174,"37,02127659574468085106382978723404255319"
Abstenciones,173,"34,39363817097415506958250497017892644135"
Abstenciones,94,"21,4123006833712984054669703872437357631"
Abstenciones,255,"32,65044814340588988476312419974391805378"
Abstenciones,166,"24,51994091580502215657311669128508124077"
Abstenciones,283,"38,50340136054421768707482993197278911565"
Abstenciones,179,"28,05642633228840125391849529780564263323"
Abstenciones,119,"22,97297297297297297297297297297297297297"
Abstenciones,133,"22,81303602058319039451114922813036020583"
Abstenciones,245,"33,19783197831978319783197831978319783198"
Abstenciones,192,"38,24701195219123505976095617529880478088"
Abstenciones,201,"29,38596491228070175438596491228070175439"
Abstenciones,199,"40,3651115618661257606490872210953346856"
Abstenciones,146,"23,97372742200328407224958949096880131363"
Abstenciones,286,"34,54106280193236714975845410628019323671"
Abstenciones,127,"29,74238875878220140515222482435597189696"
Abstenciones,258,"43,80305602716468590831918505942275042445"
Abstenciones,202,"34,00673400673400673400673400673400673401"
Abstenciones,156,"27,80748663101604278074866310160427807487"
Abstenciones,165,"32,28962818003913894324853228962818003914"
Abstenciones,162,"26,95507487520798668885191347753743760399"
Abstenciones,175,"26,51515151515151515151515151515151515152"
Abstenciones,214,"31,51693667157584683357879234167893961708"
Abstenciones,130,"26,53061224489795918367346938775510204082"
Abstenciones,235,"42,19030520646319569120287253141831238779"
Abstenciones,153,"25,80101180438448566610455311973018549747"
Abstenciones,262,"35,35762483130904183535762483130904183536"
Abstenciones,140,"32,86384976525821596244131455399061032864"
Abstenciones,203,"30,99236641221374045801526717557251908397"
Abstenciones,124,"25,51440329218106995884773662551440329218"
Abstenciones,101,"23,37962962962962962962962962962962962963"
Abstenciones,240,"30,84832904884318766066838046272493573265"
Abstenciones,172,"30,93525179856115107913669064748201438849"
Abstenciones,160,"26,2725779967159277504105090311986863711"
Abstenciones,180,"29,80132450331125827814569536423841059603"
Abstenciones,165,"29,78339350180505415162454873646209386282"
Abstenciones,170,"29,98236331569664902998236331569664902998"
Abstenciones,117,"21,04316546762589928057553956834532374101"
Abstenciones,183,"30,14827018121911037891268533772652388797"
Abstenciones,137,"25,9469696969696969696969696969696969697"
Abstenciones,190,"29,32098765432098765432098765432098765432"
Abstenciones,195,"23,98523985239852398523985239852398523985"
Abstenciones,225,"27,33900364520048602673147023086269744836"
Abstenciones,151,"19,21119592875318066157760814249363867684"
Abstenciones,153,"26,84210526315789473684210526315789473684"
Abstenciones,121,"21,72351885098743267504488330341113105925"
Abstenciones,151,"27,8597785977859778597785977859778597786"
Abstenciones,165,"23,27221438645980253878702397743300423131"
Abstenciones,171,"28,21782178217821782178217821782178217822"
Abstenciones,122,"24,11067193675889328063241106719367588933"
Abstenciones,134,"22,48322147651006711409395973154362416107"
Abstenciones,188,"32,19178082191780821917808219178082191781"
Abstenciones,189,"25,33512064343163538873994638069705093834"
Abstenciones,303,"41,33697135061391541609822646657571623465"
Abstenciones,176,"31,31672597864768683274021352313167259786"
Abstenciones,122,"21,29144851657940663176265270506108202443"
Abstenciones,145,"27,25563909774436090225563909774436090226"
Abstenciones,179,"28,18897637795275590551181102362204724409"
Abstenciones,137,"18,36461126005361930294906166219839142091"
Abstenciones,127,"21,30872483221476510067114093959731543624"
